Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-55.27	1.508	24.6362	25.9966	179.3067	872.8718	976.6867
-57.677	1.526	25.4292	26.6913	192.1328	861.1009	975.9254
-60.136	1.541	25.9124	27.3817	162.1166	985.7859	949.5441
-60.854	1.75	26.4730	27.9273	164.7008	951.8301	952.6716
-61.211	1.752	26.5331	27.9159	180.5830	904.5623	948.3309
-62.64	1.554	25.8286	26.9337	256.4475	905.9540	1006.0679
-65.181	1.563	24.4315	25.1541	463.7304	954.7333	1005.1126
-67.016	1.777	25.6857	26.7778	618.6775	1157.5543	835.4534
-67.749	1.57	25.5090	26.6186	697.3755	1206.1125	805.5368
-70.334	1.522	24.9579	26.5475	411.6197	1120.4919	831.9981
-72.926	1.574	25.1948	27.3664	215.9031	932.3715	1187.6253
-75.607	1.572	23.7727	25.0512	419.1300	1068.9753	1250.8283
-76.249	1.779	16.6225	17.1686	369.0744	652.0236	1104.9234
-76.616	1.778	11.3250	12.2502	398.4051	623.7505	903.0544
-76.984	1.777	17.6177	18.5887	182.2500	692.9891	976.0375
-77.351	1.776	21.2752	22.3058	170.4051	676.9982	914.8005
-77.995	1.618	24.1325	24.6931	831.4037	1296.9457	1017.9473
-78.815	1.771	25.7875	26.3821	382.0940	974.7094	414.0514
-55.776	1.412	25.0049	26.4589	179.8318	869.1350	789.5437
-58.195	1.428	24.7204	26.0000	197.4750	862.3026	965.6178
-60.756	1.443	26.4185	27.8312	170.8121	985.8179	931.3404
-63.178	1.453	26.0203	27.0381	310.7469	893.3552	1024.7356
-65.727	1.357	24.5752	25.3044	508.8746	1000.4403	978.3096
-68.3	1.467	25.2817	26.4900	703.4810	1209.7217	804.6523
-70.889	1.365	25.0549	26.7922	366.1730	1061.5623	879.6078
-73.482	1.47	24.9295	26.9370	212.5180	907.9260	1224.5984
-75.328	1.676	22.3523	23.5020	358.6173	941.0650	1271.6435
-75.697	1.676	21.6165	22.4950	380.3599	871.0452	1193.7568
-76.066	1.675	17.8086	18.3391	343.6238	727.6518	1165.8728
-76.434	1.674	13.6243	14.4356	389.1757	705.0960	680.1692
-76.802	1.673	9.6716	10.6687	400.2441	672.9326	944.0882
-77.169	1.672	21.2014	22.3749	185.0965	657.9964	873.2417
-77.536	1.671	19.6670	20.4442	209.9127	697.4255	954.2840
-78.727	1.46	25.1600	25.8801	479.4559	1093.0110	740.2441
-54.769	1.608	24.5660	25.9545	187.3270	889.6542	969.3111
-56.284	1.315	25.0231	26.3455	183.7474	871.1172	956.4731
-58.715	1.329	25.1555	26.5073	197.7703	871.1594	967.0580
-61.204	1.547	26.4907	27.8258	185.6398	927.0863	961.3326
-63.719	1.403	25.9265	26.8372	361.5202	917.0441	1032.9871
-66.274	1.359	26.2723	27.1847	539.4431	1028.0291	964.3478
-67.013	1.569	25.8602	26.8907	623.8657	1138.9637	839.4579
-68.853	1.364	25.0709	26.3496	623.4310	1118.6885	773.5646
-71.351	1.365	25.2050	27.1086	333.2203	1033.5514	902.0753
-74.038	1.365	24.5728	26.5051	252.4956	932.5993	1194.8606
-76.344	1.518	17.0914	17.6895	420.3996	857.4322	1048.6752
-76.62	1.57	16.3819	16.9914	445.5833	704.5779	1021.1806
-76.987	1.569	13.3688	14.1331	263.5917	658.6044	994.1074
-77.355	1.568	21.6399	22.6503	181.5855	598.7036	634.0311
-77.722	1.567	19.8058	20.5335	415.9358	791.7688	921.0081
-56.795	1.217	25.4188	26.7184	192.8466	869.0648	973.0805
-59.239	1.23	25.3693	26.7719	203.3663	881.5843	937.0455
-61.196	1.291	26.5958	27.9196	193.7207	950.1591	817.4263
-61.73	1.241	26.3743	27.5915	211.9647	906.6856	909.9986
-64.261	1.25	25.4033	26.2500	405.0181	950.3527	1012.4108
-66.823	1.256	26.3011	27.1703	613.8341	1066.3235	858.6559
-69.406	1.312	24.8643	26.1966	595.0137	1116.9626	757.8976
-72	1.209	25.4004	27.4341	296.2762	981.6235	984.6098
-74.594	1.26	24.3645	26.2164	300.8187	971.8359	1336.0177
-76.069	1.467	18.1826	18.8624	401.9464	973.2839	1050.9266
-76.805	1.465	12.7660	13.6621	446.0145	739.3739	881.5922
-77.173	1.464	17.3123	18.1924	170.2772	644.3170	889.6562
-77.54	1.464	17.5904	18.3751	179.6443	613.7804	975.3031
-54.909	1.105	24.4945	25.9037	201.0035	911.5840	950.2276
-57.31	1.119	25.4164	26.7051	207.5490	872.0102	966.7542
-59.765	1.13	26.0208	27.4276	193.7076	933.7579	909.8663
-62.266	1.14	26.0546	27.1845	234.3288	866.8526	929.1661
-64.806	1.147	24.8125	25.5784	448.2836	952.5713	988.8461
-67.374	1.153	25.9561	26.8862	679.6344	1100.1374	827.7473
-69.869	1.26	24.7158	26.0873	559.9347	1137.4041	780.0199
-72.556	1.156	25.1634	27.2314	272.0320	921.7322	1099.7306
-75.149	1.155	24.4791	26.2088	367.6156	1079.5905	1264.4069
-75.705	1.101	24.4585	26.0283	507.3252	1236.4830	1228.5314
-76.254	1.362	18.9593	19.5086	468.8029	1055.7179	1074.1029
-76.623	1.361	20.1447	20.6078	534.9656	929.0580	1270.4779
-76.991	1.361	11.6651	12.6344	360.8727	663.8618	942.3295
-77.359	1.36	16.2440	16.9749	160.8004	589.1125	1017.7773
-77.726	1.359	17.6725	18.3629	262.2641	666.3406	1095.4209
-78.092	1.358	21.1837	21.8165	697.9257	1081.7026	834.9338
-55.413	1.008	24.6710	26.0624	203.5367	910.1483	959.0920
-57.827	1.02	24.6350	25.9027	223.7919	866.9765	963.1521
-60.293	1.03	26.2690	27.6398	185.0705	990.4439	905.2276
-61.371	1.24	26.4515	27.7104	200.3302	918.9757	955.2345
-62.804	1.038	26.0600	27.1025	271.2384	821.6301	985.3063
-63.898	1.249	24.4422	25.2784	390.7491	1004.3297	958.1247
