T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
743.554	1013.040	683.207	731.583	681.199	652.460	575.161	626.645	841.401	1134.283	1001.940	685.785	623.047	763.385	707.455	567.578	828.998	1222.398	905.474	909.174	661.683	671.890	570.334	615.254	680.068	631.426	1095.071	731.711	795.326	902.114	980.548	527.556	672.640	660.544	608.371	516.326	527.432	1019.925	1036.898	744.519	925.000	636.487	816.471	650.385	556.200	611.943	765.461	535.035	522.517	1126.421	976.687
637.129	872.901	635.209	711.228	673.995	628.551	544.756	588.800	715.338	1133.593	967.743	601.812	596.211	744.871	692.155	545.621	800.036	1209.422	763.779	766.627	614.937	610.427	550.520	587.769	671.953	637.193	990.697	698.105	696.936	792.929	832.855	509.312	649.075	659.784	601.038	472.285	522.415	842.648	1023.254	666.227	788.694	605.386	706.569	628.550	532.801	613.567	745.941	511.720	498.847	981.950	975.925
429.439	571.588	542.553	668.358	659.403	586.002	494.379	517.501	457.704	1089.170	876.195	431.278	547.196	702.844	660.649	512.088	734.499	1142.108	467.379	472.037	526.318	487.000	516.986	536.760	657.366	655.614	752.934	628.465	494.335	566.566	515.406	483.585	600.388	658.520	593.703	396.142	523.532	468.309	970.884	501.640	510.264	550.387	482.840	587.791	494.227	622.804	704.493	475.241	465.356	666.004	949.544
363.611	483.179	512.782	655.283	656.791	571.611	476.169	493.235	378.603	1090.350	857.263	376.381	530.858	691.329	651.209	500.113	715.367	1135.221	377.357	379.239	498.194	444.658	507.210	518.516	654.644	662.395	684.808	608.885	429.042	500.636	421.148	475.510	583.633	660.459	591.382	367.819	523.264	354.086	965.490	448.543	423.500	531.925	411.233	575.360	479.700	626.656	692.271	461.847	451.475	572.383	952.672
330.494	434.360	498.029	648.172	654.151	564.448	467.897	481.385	337.219	1082.490	842.422	348.882	523.010	684.227	645.755	494.698	704.317	1123.732	329.562	331.594	484.169	424.455	502.097	509.897	652.171	665.141	645.965	597.750	395.998	464.553	369.538	471.774	575.294	660.011	590.073	355.162	523.419	293.268	957.010	421.782	378.825	523.012	375.068	568.811	473.203	628.000	685.230	455.777	445.987	520.997	948.331
288.827	336.646	514.128	687.370	700.387	607.366	503.536	514.678	261.331	1123.302	865.886	315.287	564.524	719.871	691.601	533.090	734.505	1159.164	231.680	237.604	516.318	417.461	541.937	537.464	699.466	737.262	584.747	620.066	357.044	403.166	259.050	506.643	603.621	707.750	643.597	369.585	584.601	159.437	1008.463	388.862	298.310	572.190	326.361	607.045	503.022	693.714	729.277	488.120	493.502	415.458	1006.068
282.596	234.435	529.432	685.849	695.150	637.878	540.881	565.696	198.362	1056.667	844.108	285.650	610.763	698.775	701.220	556.577	714.241	1084.553	142.436	146.368	589.770	396.058	577.428	534.583	698.438	778.795	476.633	612.506	329.795	331.071	146.051	521.604	584.064	692.063	667.468	386.587	643.550	43.984	1011.615	332.450	226.530	651.544	296.954	623.525	503.964	734.114	733.692	502.804	556.333	274.037	1005.113
222.744	120.779	446.214	565.344	570.933	545.935	469.704	499.741	114.811	835.944	687.780	211.844	533.539	562.367	586.833	474.628	575.162	854.017	52.296	53.042	535.672	306.660	502.058	437.608	576.587	670.759	321.836	504.258	248.713	221.945	40.489	440.942	465.878	560.810	567.324	325.662	572.563	0.000	845.789	232.425	132.571	588.474	220.767	527.756	413.103	633.237	609.449	423.092	500.421	127.469	835.453
238.330	118.688	449.883	551.997	550.868	536.978	472.963	508.610	127.420	791.672	663.113	231.156	533.222	542.916	564.594	476.900	556.080	801.649	56.676	69.647	536.652	320.106	495.174	430.716	559.393	643.628	306.505	492.599	260.693	218.037	45.479	441.821	454.082	539.950	550.378	338.206	568.190	0.000	811.655	247.079	147.863	582.716	234.963	516.841	412.722	611.934	587.893	423.558	504.885	121.848	805.537
375.325	229.364	561.565	593.314	551.379	558.998	554.461	625.916	282.453	804.302	712.642	436.322	595.393	558.780	540.374	577.809	572.295	771.110	174.298	273.157	584.566	481.452	535.644	477.071	578.570	554.425	408.888	563.702	409.071	311.772	201.510	541.083	480.858	541.017	535.306	457.322	616.477	132.374	819.654	453.092	340.084	570.794	400.014	558.251	484.934	560.405	575.904	500.324	577.741	257.305	831.998
630.546	406.379	873.140	861.521	767.688	796.348	839.287	968.505	514.649	1136.588	1038.334	774.539	878.348	789.859	732.894	888.671	810.511	1051.931	335.221	542.969	852.782	799.388	779.520	701.811	821.465	698.466	651.982	846.408	687.438	508.341	405.633	836.587	690.925	753.026	734.091	733.451	900.869	316.782	1154.721	800.028	627.306	782.624	689.360	812.855	733.990	736.165	792.259	759.467	865.703	464.201	1187.625
707.773	525.961	932.389	929.110	813.509	835.606	879.614	1015.444	629.173	1210.650	1116.857	869.869	942.989	848.354	784.561	939.061	870.470	1122.775	466.859	641.172	917.259	869.820	838.538	761.701	872.462	747.148	757.393	925.489	750.387	615.721	527.025	899.015	751.242	800.404	782.552	776.493	931.115	447.265	1217.910	903.389	710.481	836.298	769.545	880.493	789.619	789.158	847.552	806.314	896.164	587.126	1250.828
