T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
868.884	791.871	889.220	813.650	839.965	832.554	841.519	839.184	840.516	836.828	887.100	841.426	844.140	839.965	828.707	840.236	818.622	894.043	861.783	857.366	813.596	889.984	859.247	836.897	839.364	825.486	892.743	828.323	877.277	872.641	793.391	857.211	808.230	884.256	838.022	834.353	850.610	795.486	864.165	810.322	884.497	811.694	877.090	827.061	821.914	837.998	834.478	846.444	829.487	887.364	872.872
784.285	718.940	824.198	753.532	756.270	758.412	763.644	754.142	768.288	721.364	804.103	752.644	761.916	744.322	758.584	767.244	742.015	868.828	777.063	741.605	770.937	764.956	802.234	755.882	759.081	772.079	790.074	787.695	725.618	861.685	682.572	778.148	739.745	766.478	787.557	736.342	803.006	686.781	856.996	743.226	847.676	751.708	744.992	779.320	738.698	768.715	756.571	762.859	774.457	732.294	861.101
760.514	745.078	837.156	798.581	749.981	771.942	761.472	738.129	771.512	650.369	769.610	727.369	748.391	713.645	781.525	769.352	752.641	966.607	756.154	667.234	852.885	668.686	837.600	752.196	757.579	824.177	736.417	870.020	588.870	988.658	645.513	771.340	773.324	680.172	842.472	704.424	860.518	650.296	990.920	773.110	921.177	792.023	633.130	842.703	741.836	787.490	759.432	746.371	823.393	575.047	985.786
683.501	681.464	769.572	742.086	676.371	705.076	690.001	661.696	701.404	555.557	691.567	648.216	673.289	632.037	717.962	698.966	685.140	921.235	682.142	572.708	807.937	567.796	779.309	681.022	685.669	770.999	648.078	825.605	476.314	955.827	562.376	699.763	714.057	582.314	790.511	622.782	809.403	567.223	959.250	712.469	869.923	734.532	530.076	792.385	671.207	721.993	689.436	669.981	768.812	456.013	951.830
614.689	619.891	705.955	683.344	609.905	641.663	624.275	593.856	636.412	479.341	621.361	578.930	605.815	561.908	655.914	633.894	621.293	869.845	614.039	496.085	754.792	488.004	719.330	615.058	619.940	713.403	574.556	772.494	390.691	908.947	491.298	633.758	653.644	504.099	733.342	552.580	752.701	496.246	913.442	651.465	815.053	675.168	448.092	736.452	606.142	659.307	624.447	602.106	710.753	367.307	904.562
575.411	614.471	682.698	672.852	595.339	625.134	599.644	568.866	613.765	464.798	567.727	556.609	584.126	546.131	641.896	607.847	607.635	870.422	565.183	471.151	745.347	456.051	689.745	592.917	604.100	701.640	550.066	760.151	352.326	912.954	488.127	591.617	643.964	463.295	715.557	531.179	729.551	495.854	911.219	640.798	810.828	663.814	407.404	719.223	593.484	642.690	603.895	575.217	693.063	320.106	905.954
623.083	726.020	746.211	755.985	703.492	712.415	673.983	651.253	689.104	622.999	584.551	656.006	677.250	669.069	730.937	673.152	707.797	928.490	586.104	602.148	801.725	583.514	721.735	679.346	704.796	778.535	664.619	807.948	495.336	969.908	659.861	616.641	741.999	552.922	771.243	637.800	765.469	675.998	938.478	737.864	878.745	749.693	527.846	766.433	700.359	724.379	687.311	652.349	751.479	450.364	954.733
819.959	971.216	955.996	980.573	942.938	937.073	889.503	873.016	905.977	901.196	760.865	891.551	906.833	919.398	958.074	882.148	943.860	1134.905	765.682	859.467	1005.511	839.192	907.214	905.316	939.256	997.740	912.311	1006.323	761.004	1176.800	950.192	796.293	978.158	777.658	974.793	876.692	953.393	972.621	1124.310	975.241	1091.724	975.985	779.355	963.770	940.260	944.714	909.892	869.575	955.836	706.620	1157.554
878.634	1051.652	1014.880	1055.376	1024.001	1012.518	961.993	946.827	979.832	988.957	816.878	969.201	983.898	1002.895	1034.255	952.303	1020.121	1190.947	819.997	940.994	1076.130	912.894	971.164	979.254	1018.555	1068.358	982.317	1073.456	843.136	1229.526	1039.648	854.132	1053.489	848.557	1040.736	956.630	1018.610	1064.048	1171.226	1050.120	1150.312	1049.718	853.091	1031.077	1021.320	1020.375	983.062	942.429	1025.607	783.787	1206.113
852.069	1144.574	971.703	1145.595	1096.947	1071.766	1018.670	1005.136	1054.788	1057.787	841.843	1048.443	1055.619	1073.725	1109.707	1002.830	1083.463	1131.451	822.686	987.537	1161.725	893.839	1029.332	1044.024	1092.204	1119.663	963.261	1148.006	869.117	1153.546	1123.217	855.878	1127.939	840.401	1082.205	1026.409	1078.314	1153.543	1097.175	1140.916	1093.661	1121.575	859.314	1102.217	1110.368	1090.056	1033.593	994.034	1089.475	782.046	1120.492
715.641	1131.623	822.139	1130.429	1063.228	1024.397	967.729	955.968	1022.473	1019.353	757.158	1020.822	1019.987	1037.400	1079.266	945.183	1040.482	970.243	715.152	925.730	1141.278	767.425	980.247	1002.476	1058.980	1064.529	838.421	1116.218	786.527	973.471	1101.116	746.874	1097.243	721.866	1017.208	989.217	1031.275	1137.563	919.158	1126.621	933.333	1086.281	756.085	1067.006	1093.621	1052.963	977.239	937.699	1046.679	669.650	932.372
