T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
25.270	25.295	25.592	25.529	24.526	24.818	24.617	23.983	26.069	25.267	26.143	24.821	25.305	24.525	24.739	25.617	24.825	25.886	25.590	24.763	26.113	24.570	25.266	24.229	24.742	25.060	25.410	26.933	23.566	26.376	24.225	26.297	24.139	24.052	25.000	24.364	24.786	24.914	26.649	25.474	25.541	25.134	24.287	26.126	24.504	25.202	24.670	24.607	23.947	24.526	25.997
26.589	26.965	26.109	27.171	26.125	26.502	26.534	25.830	27.713	27.076	28.286	26.433	27.128	26.257	26.320	27.421	26.568	26.398	27.553	26.681	27.816	25.781	27.305	25.913	26.409	26.941	26.238	28.669	25.643	27.068	26.060	28.289	25.774	25.857	26.857	26.088	26.765	26.708	27.129	27.175	25.905	26.975	26.261	27.839	25.986	26.831	26.398	26.422	25.799	26.605	26.691
28.378	28.722	26.618	28.849	27.849	28.226	28.816	28.254	29.383	29.344	31.279	28.404	29.223	28.301	27.963	29.458	28.499	26.987	30.343	29.425	29.283	27.675	29.715	27.960	28.321	28.871	27.544	30.144	28.731	27.444	28.676	30.814	27.670	28.514	28.787	28.218	28.879	28.947	27.493	29.117	26.186	28.992	29.388	29.463	27.588	28.413	28.314	28.624	27.929	29.955	27.382
29.247	29.633	27.120	29.736	28.746	29.132	29.866	29.335	30.256	30.374	32.516	29.373	30.220	29.280	28.845	30.441	29.450	27.471	31.503	30.599	30.115	28.555	30.816	28.946	29.271	29.815	28.257	30.989	30.003	27.898	29.812	31.941	28.619	29.631	29.743	29.233	29.878	29.969	27.961	30.076	26.612	29.967	30.648	30.345	28.463	29.267	29.271	29.644	28.924	31.233	27.927
29.391	29.776	27.081	29.867	28.881	29.269	30.083	29.574	30.383	30.590	32.837	29.547	30.410	29.462	28.970	30.621	29.618	27.443	31.796	30.883	30.213	28.717	31.051	29.132	29.433	29.980	28.334	31.089	30.364	27.839	30.129	32.193	28.783	29.901	29.908	29.430	30.068	30.182	27.901	30.246	26.539	30.146	30.989	30.466	28.583	29.381	29.436	29.849	29.119	31.606	27.916
28.911	29.084	26.038	29.123	28.241	28.577	29.616	29.189	29.706	30.254	32.722	28.973	29.880	29.231	28.239	30.059	29.001	26.537	31.624	30.704	29.394	28.275	30.628	28.578	28.871	29.381	27.654	30.237	30.594	26.726	30.141	31.913	28.157	29.782	29.293	28.917	29.544	30.086	26.802	29.609	25.441	29.772	31.008	29.692	27.990	28.671	28.820	29.377	28.587	31.806	26.934
27.817	27.778	24.283	27.423	27.031	27.029	28.254	27.938	28.221	29.633	31.824	27.740	28.879	28.483	26.633	28.607	27.469	24.992	30.658	30.134	27.659	27.152	29.340	27.154	27.809	27.881	26.285	28.415	30.350	24.791	29.539	30.976	27.115	29.094	27.780	27.568	28.132	29.361	24.983	28.189	23.638	28.893	30.382	27.978	26.969	27.265	27.333	28.042	27.107	31.425	25.154
29.986	29.631	25.853	29.208	29.003	28.940	30.299	30.046	30.090	31.805	34.186	29.675	30.876	30.565	28.490	30.576	29.375	26.723	32.964	32.468	29.440	29.249	31.456	29.136	29.845	29.826	28.177	30.144	32.760	26.303	31.728	33.349	29.033	31.576	29.735	29.600	30.165	31.451	26.579	30.043	25.215	30.885	32.913	29.777	28.885	29.145	29.283	30.090	29.073	34.083	26.778
29.817	29.363	25.701	28.832	28.774	28.574	29.938	29.744	29.822	31.620	33.916	29.435	30.647	30.362	28.223	30.214	29.029	26.670	32.718	32.298	29.029	29.150	31.185	28.818	29.632	29.449	28.088	29.704	32.665	26.121	31.536	33.036	28.774	31.407	29.338	29.285	29.769	31.251	26.425	29.767	25.103	30.644	32.746	29.363	28.627	28.901	28.936	29.754	28.836	34.013	26.619
28.770	27.614	25.656	27.394	27.049	27.100	28.137	28.153	28.309	29.538	31.949	27.871	28.664	28.364	26.734	28.469	27.550	26.598	31.051	30.153	27.519	28.379	29.284	27.376	27.812	27.744	27.649	28.160	30.838	26.117	29.382	31.098	27.059	29.734	27.647	27.719	27.928	29.156	26.505	28.068	25.274	28.547	31.020	27.796	26.924	27.262	27.479	27.977	27.107	32.301	26.548
