T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
168.282	153.770	159.385	152.685	150.371	172.381	173.962	185.899	147.221	151.962	132.245	160.572	141.046	149.804	161.357	159.890	185.175	190.589	241.141	130.809	135.485	192.986	122.799	176.953	133.050	192.737	178.377	140.898	225.649	142.272	174.518	121.310	175.915	181.670	192.146	170.332	140.169	181.830	158.402	147.930	168.576	178.752	182.039	162.958	119.283	148.171	176.106	168.048	158.997	212.743	179.307
159.753	143.527	179.983	140.490	152.594	160.654	163.873	175.815	145.774	151.057	107.216	158.825	137.093	148.523	149.251	153.593	173.767	213.272	212.675	126.955	122.673	203.945	114.499	168.819	134.469	179.635	203.993	128.567	209.947	160.160	174.934	97.590	164.454	164.088	178.214	167.851	125.501	183.534	179.372	139.102	195.834	173.200	161.734	149.120	112.304	146.696	164.675	162.589	141.424	197.263	192.133
101.012	92.662	164.092	88.243	119.618	104.472	105.501	110.278	112.637	107.185	39.834	114.180	101.209	109.780	95.547	105.085	109.178	182.212	89.066	82.547	80.984	151.931	82.649	109.786	107.874	113.417	177.655	81.893	100.945	155.415	121.019	38.756	102.457	80.326	110.635	115.838	81.445	129.547	169.416	88.585	185.061	118.253	68.426	92.976	81.955	114.433	105.429	109.331	84.885	97.124	162.117
92.123	81.926	169.134	76.062	116.196	94.120	94.538	98.264	109.671	100.085	21.428	107.025	95.869	104.614	84.131	96.221	97.349	186.380	62.514	72.502	70.727	148.055	75.120	98.693	105.142	101.379	180.865	69.100	79.128	162.817	112.391	22.087	89.787	62.809	97.349	107.293	71.888	122.500	177.174	76.637	193.924	109.011	47.271	80.176	74.997	111.523	94.571	99.329	71.890	78.393	164.701
96.070	85.449	187.395	78.798	126.102	98.507	98.774	101.979	118.805	106.626	15.979	114.349	102.996	112.398	87.658	101.929	101.026	204.747	54.856	75.847	74.206	159.259	80.420	103.248	114.566	105.361	199.137	71.815	75.165	181.671	119.066	17.867	92.865	60.186	100.747	113.730	75.292	130.357	197.148	79.590	215.725	115.253	41.586	83.042	80.311	120.981	98.634	104.759	73.613	75.481	180.583
120.586	120.538	272.363	113.262	179.635	135.168	135.794	137.228	171.349	149.247	11.583	161.142	146.432	157.568	121.924	145.007	137.095	291.482	44.299	104.282	112.493	212.752	119.882	140.760	165.648	142.266	285.108	115.248	72.477	272.115	161.316	16.593	125.413	60.309	137.642	155.752	109.715	177.250	289.957	115.403	313.501	160.151	30.682	119.665	116.601	172.800	135.349	145.889	101.332	74.727	256.448
304.934	334.282	479.952	332.739	381.870	344.784	348.224	347.965	388.287	353.797	210.036	367.726	352.394	359.421	331.237	362.250	351.549	504.152	233.158	300.031	341.202	393.253	332.514	346.476	370.032	354.030	487.619	365.435	242.110	498.656	354.987	212.347	330.699	233.834	354.487	355.437	332.280	376.081	509.954	335.225	523.590	370.907	201.165	345.309	316.493	380.509	349.676	354.646	311.450	248.162	463.730
449.957	499.759	632.055	502.779	534.981	506.675	511.959	510.211	556.066	510.728	371.693	524.849	511.702	514.365	492.665	529.203	517.150	660.342	385.167	451.046	519.385	527.540	497.708	503.496	526.206	517.472	633.416	558.699	375.501	667.372	501.395	370.938	488.377	372.213	521.603	506.406	506.937	526.871	672.433	504.723	675.879	531.948	346.586	520.124	470.484	540.112	515.395	513.494	475.279	386.935	618.677
535.234	591.724	712.168	595.742	621.946	595.981	602.702	601.500	641.623	600.627	468.378	616.079	601.020	602.926	585.324	619.022	606.745	735.368	475.341	545.074	610.334	608.293	589.311	596.197	614.119	604.105	712.136	652.378	464.247	744.820	591.760	466.199	580.996	462.205	609.999	597.529	596.479	613.414	750.068	599.430	751.637	619.404	431.682	611.721	564.716	625.206	605.208	605.468	567.466	473.617	697.375
277.345	334.024	428.303	332.519	363.191	330.352	345.538	352.502	369.841	354.234	239.128	379.940	356.057	357.496	336.968	350.390	338.827	415.645	208.992	313.115	321.517	335.974	333.981	359.421	360.117	314.324	412.374	347.046	207.794	423.575	358.954	222.383	335.878	218.428	322.780	357.422	312.411	355.749	449.966	347.950	448.905	343.327	204.808	332.662	339.295	353.700	340.030	357.496	307.431	217.187	411.620
