T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
24.015	23.374	23.889	23.250	22.480	22.412	22.497	22.975	23.900	23.688	24.584	23.829	23.417	23.021	22.586	22.744	22.980	24.279	24.472	23.417	22.891	24.131	23.342	22.959	22.825	22.104	24.668	23.151	23.566	23.884	23.977	23.360	22.913	22.808	22.431	22.417	21.934	23.839	24.404	23.913	23.805	23.192	23.695	23.126	22.678	22.872	22.803	22.488	22.007	23.375	24.636
25.272	25.188	24.827	24.842	24.290	24.120	24.199	24.677	25.642	25.782	26.472	25.458	25.425	25.123	24.258	24.387	24.688	25.109	26.087	25.585	24.533	25.589	25.225	24.641	24.701	23.868	25.852	24.645	25.643	24.570	26.060	25.001	24.729	24.801	24.061	24.303	23.564	25.948	24.986	25.641	24.594	25.360	25.783	24.629	24.546	24.660	24.449	24.236	23.673	25.631	25.429
26.488	27.333	25.517	26.652	26.353	25.992	26.067	26.585	27.667	28.453	28.902	27.337	27.948	27.731	26.107	26.204	26.608	25.582	28.047	28.393	26.382	27.132	27.593	26.503	26.933	25.826	26.952	26.311	28.681	24.843	28.676	26.965	26.808	27.217	25.837	26.459	25.293	28.606	25.103	27.705	24.991	28.115	28.453	26.275	26.734	26.689	26.244	26.142	25.516	28.610	25.912
27.239	28.345	26.155	27.564	27.358	26.936	27.024	27.557	28.628	29.619	29.952	28.295	29.034	28.859	27.051	27.143	27.561	26.169	28.963	29.592	27.286	28.001	28.611	27.461	27.967	26.791	27.713	27.152	29.902	25.310	29.812	27.892	27.820	28.314	26.741	27.521	26.194	29.745	25.575	28.700	25.555	29.260	29.614	27.132	27.784	27.659	27.165	27.130	26.462	29.856	26.473
27.405	28.645	26.245	27.815	27.646	27.196	27.284	27.824	28.911	29.996	30.293	28.559	29.388	29.225	27.308	27.396	27.828	26.228	29.234	29.988	27.542	28.214	28.942	27.720	28.279	27.063	27.862	27.382	30.304	25.339	30.129	28.165	28.111	28.652	26.986	27.823	26.433	30.118	25.583	28.990	25.603	29.646	29.989	27.360	28.091	27.942	27.414	27.397	26.717	30.275	26.533
27.042	28.664	25.611	27.724	27.673	27.136	27.252	27.802	28.899	30.254	30.530	28.489	29.623	29.231	27.230	27.330	27.778	25.478	29.300	30.384	27.508	27.931	29.239	27.649	28.406	27.045	27.376	27.320	30.594	24.595	30.141	28.273	28.111	28.838	26.939	27.837	26.382	30.086	24.710	28.976	24.829	29.772	30.311	27.264	27.990	27.946	27.327	27.331	26.805	30.745	25.829
26.044	27.778	24.283	27.052	27.031	26.559	26.818	27.377	28.221	29.633	30.252	27.740	28.879	28.483	26.633	26.822	27.178	24.035	28.881	30.134	26.924	26.978	29.165	27.098	27.809	26.519	26.215	26.778	30.350	23.147	29.539	28.025	27.115	28.570	26.450	27.369	25.961	29.361	23.143	28.189	23.373	28.893	30.235	26.701	26.969	27.265	26.729	26.822	26.778	30.864	24.431
27.567	29.631	25.652	28.849	29.003	28.417	28.799	29.379	30.060	31.805	32.299	29.675	30.876	30.565	28.490	28.750	29.024	25.258	30.806	32.468	28.767	28.532	31.350	28.998	29.845	28.409	27.633	28.668	32.760	24.347	31.728	30.083	29.033	30.613	28.369	29.328	27.944	31.451	24.284	30.043	24.584	30.885	32.432	28.574	28.885	29.145	28.576	28.761	29.045	33.181	25.686
27.426	29.363	25.484	28.665	28.774	28.256	28.647	29.210	29.822	31.620	32.180	29.435	30.647	30.362	28.223	28.592	28.847	25.085	30.711	32.298	28.618	28.373	31.185	28.818	29.632	28.257	27.458	28.529	32.665	24.204	31.536	30.026	28.774	30.519	28.231	29.146	27.818	31.251	24.108	29.767	24.416	30.644	32.328	28.429	28.627	28.901	28.410	28.589	28.836	33.123	25.509
26.257	27.589	24.842	26.779	27.049	26.341	26.745	27.264	27.888	29.538	29.813	27.806	28.664	28.364	26.440	26.786	26.863	24.703	28.679	29.948	26.721	26.910	28.901	26.929	27.812	26.284	26.404	26.828	29.995	23.931	29.382	28.147	27.059	28.310	26.359	27.036	26.085	29.156	23.994	27.937	24.073	28.547	29.788	26.698	26.924	27.084	26.534	26.759	26.954	30.450	24.958
